Designator,Device,Footprint,Mid X,Mid Y,Ref X,Ref Y,Pad X,Pad Y,Pins,Layer,Rotation,SMD,Comment,Name
C56,CL21B104KBCNNNC,C0805,-35.5mm,-38.75mm,-35.5mm,-38.75mm,-35.5mm,-37.75mm,2,B,270,Yes,100nF,100nF
C57,CL31B106KBHNNNE,C1206,-42.25mm,-38.75mm,-42.25mm,-38.75mm,-43.843mm,-38.75mm,2,T,0,Yes,10uF,10uF
C58,CL31B106KBHNNNE,C1206,-18.6mm,4.3mm,-18.6mm,4.3mm,-18.6mm,5.893mm,2,B,270,Yes,10uF,10uF
C59,CL21B104KCFNNNE,C0805,-16.7mm,5.9mm,-16.7mm,5.9mm,-16.7mm,6.9mm,2,T,270,Yes,100nF,100nF
C60,CL21B104KBCNNNC,C0805,-22mm,5mm,-22mm,5mm,-21mm,5mm,2,B,180,Yes,100nF,100nF
C61,CL32B226KAJNNNE,C1210,-30.5mm,5.5mm,-30.5mm,5.5mm,-32.017mm,5.5mm,2,B,0,Yes,22uF,22uF
C62,CL32B226KAJNNNE,C1210,-31.5mm,9.5mm,-31.5mm,9.5mm,-33.017mm,9.5mm,2,B,0,Yes,22uF,22uF
C63,CL21B104KBCNNNC,C0805,-23.5mm,12.5mm,-23.5mm,12.5mm,-22.5mm,12.5mm,2,T,180,Yes,100nF,100nF
C64,CL21C101JBANNNC,C0805,-25.5mm,7.5mm,-25.5mm,7.5mm,-25.5mm,8.5mm,2,B,270,Yes,100pF,100pF
C65,CL21B104KBCNNNC,C0805,44.75mm,6.75mm,44.75mm,6.75mm,44.75mm,7.75mm,2,B,270,Yes,100nF,100nF
C66,CL21B104KBCNNNC,C0805,38mm,5mm,38mm,5mm,38mm,6mm,2,T,270,Yes,100nF,100nF
C67,CL21B104KBCNNNC,C0805,36mm,-39.5mm,36mm,-39.5mm,36mm,-38.5mm,2,T,270,Yes,100nF,100nF
C68,CL21B104KBCNNNC,C0805,39.5mm,-46.5mm,39.5mm,-46.5mm,38.5mm,-46.5mm,2,T,0,Yes,100nF,100nF
C69,CL21A475KAQNNNE,C0805,-8.25mm,29.5mm,-8.25mm,29.5mm,-7.25mm,29.5mm,2,B,180,Yes,4.7uF,4.7uF
C70,CL31B475KBHNNNE,C1206,-11.25mm,20.5mm,-11.25mm,20.5mm,-11.25mm,18.907mm,2,B,90,Yes,4.7uF,4.7uF
CN4,KF2EDGR-3.5-4P,CONN-TH_4P-P3.50_KF2EDGR-3.5-4P,6.75mm,-53.6mm,6.75mm,-53.6mm,1.5mm,-53.6mm,4,T,0,No,KF2EDGR-3.5-4P,KF2EDGR-3.5-4P
CN13,KF2EDGR-3.81-3P,CONN-TH_3P-P3.81_KF2EDGR-3.81-3P,-41.077mm,-28mm,-41.077mm,-28mm,-41.077mm,-24.19mm,3,T,270,No,KF2EDGR-3.81-3P,KF2EDGR-3.81-3P
CN14,B2B-PH-K-S(LF)(SN),CONN-TH_B2B-PH-K-S,-23.25mm,17mm,-23.25mm,17mm,-24.25mm,17mm,2,T,180,No,B2B-PH-K-S(LF)(SN),B2B-PH-K-S(LF)(SN)
D1,SMBJ33CA-13-F,SMB_L4.6-W3.6-LS5.3-BI,-37mm,-37.9mm,-37mm,-37.9mm,-37mm,-40.291mm,2,T,90,Yes,SMBJ33CA-13-F,SMBJ33CA-13-F
D7,SZNUP2105LT1G,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,19.24mm,-49.7mm,19.24mm,-49.7mm,18.29mm,-50.7mm,3,T,270,Yes,SZNUP2105LT1G,SZNUP2105LT1G
D12,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,-31mm,21mm,-31mm,21mm,-29.899mm,21.95mm,3,B,0,Yes,"BAT54S,215","BAT54S,215"
D13,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,-28.75mm,16mm,-28.75mm,16mm,-27.649mm,16.95mm,3,B,0,Yes,"BAT54S,215","BAT54S,215"
D14,"PESD5V0U2BT,215",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,-37.5mm,14.5mm,-37.5mm,14.5mm,-38.45mm,15.735mm,3,B,90,Yes,"PESD5V0U2BT,215","PESD5V0U2BT,215"
D15,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,23mm,4mm,23mm,4mm,22.05mm,5.101mm,3,B,90,Yes,"BAT54S,215","BAT54S,215"
D16,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,27mm,2.5mm,27mm,2.5mm,28.101mm,1.55mm,3,T,0,Yes,"BAT54S,215","BAT54S,215"
D17,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,38.1mm,-16.4mm,38.1mm,-16.4mm,40.3mm,-16.4mm,2,B,180,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D18,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,38.5mm,-12.5mm,38.5mm,-12.5mm,40.7mm,-12.5mm,2,B,180,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D19,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,39mm,-4.8mm,39mm,-4.8mm,41.2mm,-4.8mm,2,B,180,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D20,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,38.4mm,-22.4mm,38.4mm,-22.4mm,39.35mm,-23.501mm,3,B,270,Yes,"BAT54S,215","BAT54S,215"
D21,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,32mm,-10.8mm,32mm,-10.8mm,30.899mm,-11.75mm,3,B,180,Yes,"BAT54S,215","BAT54S,215"
D22,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,37.8mm,-6.7mm,37.8mm,-6.7mm,38.75mm,-5.599mm,3,T,90,Yes,"BAT54S,215","BAT54S,215"
D23,"BAT54S,215",SOT-23-3_L3.0-W1.7-P0.95-LS2.9-BR,-38mm,43mm,-38mm,43mm,-38.95mm,41.899mm,3,T,270,Yes,"BAT54S,215","BAT54S,215"
D24,"PESD5V0S1UB,115",SOD-523F_L1.2-W0.8-LS1.7-RD,-36mm,47.01mm,-36mm,47.01mm,-36.711mm,47.005mm,2,B,0,Yes,"PESD5V0S1UB,115","PESD5V0S1UB,115"
D25,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,7.5mm,-47mm,7.5mm,-47mm,9.7mm,-47mm,2,B,180,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D26,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,31.75mm,-46.75mm,31.75mm,-46.75mm,29.55mm,-46.75mm,2,B,0,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D27,SS310_C7420364,SMA_L4.3-W2.6-LS5.0-FD,-21.3mm,3.2mm,-21.3mm,3.2mm,-19.15mm,3.209mm,2,T,180,Yes,SS310,SS310
D28,SS14_C52023869,SMA-SMD_L4.4-W2.7-LS5.4-RD,-8mm,20mm,-8mm,20mm,-8mm,17.5mm,2,B,90,Yes,SS14,SS14
D29,SMAJ26A-13-F,SMA_L4.4-W2.6-LS5.0-RD,-34.25mm,-29mm,-34.25mm,-29mm,-34.25mm,-26.807mm,2,B,270,Yes,SMAJ26A-13-F,SMAJ26A-13-F
D30,SMAJ5.0A-13-F,SMA_L4.3-W2.6-LS5.2-RD,-30.75mm,-32.25mm,-30.75mm,-32.25mm,-32.95mm,-32.25mm,2,T,0,Yes,SMAJ5.0A-13-F,SMAJ5.0A-13-F
D31,"PESD5V0U2BT,215",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,42.25mm,-0.5mm,42.25mm,-0.5mm,43.485mm,0.45mm,3,B,0,Yes,"PESD5V0U2BT,215","PESD5V0U2BT,215"
D32,"PESD5V0U2BT,215",SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,41mm,-42mm,41mm,-42mm,42.235mm,-42.95mm,3,T,0,Yes,"PESD5V0U2BT,215","PESD5V0U2BT,215"
F1,RXEF250,FUSE-TH_L20.8-W3.0-P10.15-D0.6-S2.10,-36mm,-43.5mm,-36mm,-43.5mm,-30.925mm,-44.55mm,2,T,180,No,RXEF250,RXEF250
H1,PZ254V-11-06P,HDR-TH_6P-P2.54-V-M,-40.315mm,-19.9mm,-40.315mm,-19.9mm,-46.665mm,-19.9mm,6,T,0,No,PZ254V-11-06P,PZ254V-11-06P
H2,PZ254V-11-03P,HDR-TH_3P-P2.54-V-M_PZ254V-11-03P,16mm,41mm,16mm,41mm,18.54mm,41mm,3,T,180,No,PZ254V-11-03P,PZ254V-11-03P
L3,SPM7054VT-470M-D,IND-SMD_L7.5-W7.0_SPM7054VT-330M-D,-31.25mm,6.25mm,-31.25mm,6.25mm,-28.275mm,6.25mm,2,T,180,Yes,47uH,47uH
L4,SPM6530T-150M-HZ,IND-SMD_L7.1-W6.5,-15mm,27mm,-15mm,27mm,-17.8mm,27mm,2,B,0,Yes,15uH,15uH
Q1,IRLML0060TRPBF_C67274,SOT-23-3_L2.9-W1.6-P1.90-LS2.8-BR,-43.75mm,-38.5mm,-43.75mm,-38.5mm,-42.515mm,-37.55mm,3,B,0,Yes,IRLML0060TRPBF,IRLML0060TRPBF
R8,0805W8F1002T5E,R0805,-21mm,-27.3mm,-21mm,-27.3mm,-20mm,-27.3mm,2,T,180,Yes,10kΩ,10kΩ
R10,0805W8F1002T5E,R0805,-8mm,-27.3mm,-8mm,-27.3mm,-7mm,-27.3mm,2,T,180,Yes,10kΩ,10kΩ
R12,0805W8F1002T5E,R0805,5mm,-27.3mm,5mm,-27.3mm,6mm,-27.3mm,2,T,180,Yes,10kΩ,10kΩ
R34,0805W8F3301T5E,R0805,-33.6mm,-6.3mm,-33.6mm,-6.3mm,-32.6mm,-6.3mm,2,T,180,Yes,3.3kΩ,3.3kΩ
R35,0805W8F3301T5E,R0805,-33.6mm,-8.7mm,-33.6mm,-8.7mm,-32.6mm,-8.7mm,2,T,180,Yes,3.3kΩ,3.3kΩ
R41,0805W8F3300T5E,R0805,34.4mm,-47.6mm,34.4mm,-47.6mm,33.4mm,-47.6mm,2,T,0,Yes,330Ω,330Ω
R46,1206W4F1500T5E,R1206,-33.5mm,-24.25mm,-33.5mm,-24.25mm,-34.979mm,-24.25mm,2,T,0,Yes,150Ω,150Ω
R47,0805W8F1002T5E,R0805,-36.2mm,-28mm,-36.2mm,-28mm,-36.2mm,-29mm,2,T,90,Yes,10kΩ,10kΩ
R48,0805W8F3301T5E,R0805,21mm,-27.3mm,21mm,-27.3mm,22mm,-27.3mm,2,T,180,Yes,3.3kΩ,3.3kΩ
R49,0805W8F3900T5E,R0805,-24.7mm,-46.2mm,-24.7mm,-46.2mm,-25.7mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R50,0805W8F3900T5E,R0805,-20.9mm,-46.2mm,-20.9mm,-46.2mm,-21.9mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R51,0805W8F3900T5E,R0805,-11.7mm,-46.2mm,-11.7mm,-46.2mm,-12.7mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R52,0805W8F3900T5E,R0805,-7.9mm,-46.2mm,-7.9mm,-46.2mm,-8.9mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R53,0805W8F3900T5E,R0805,1.3mm,-46.2mm,1.3mm,-46.2mm,0.3mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R54,0805W8F3900T5E,R0805,5.1mm,-46.2mm,5.1mm,-46.2mm,4.1mm,-46.2mm,2,T,0,Yes,390Ω,390Ω
R56,0805W8F4702T5E,R0805,-21mm,-38mm,-21mm,-38mm,-22mm,-38mm,2,B,0,Yes,47kΩ,47kΩ
R57,0805W8F4702T5E,R0805,-8mm,-38mm,-8mm,-38mm,-9mm,-38mm,2,B,0,Yes,47kΩ,47kΩ
R58,0805W8F4702T5E,R0805,3.25mm,-31.25mm,3.25mm,-31.25mm,3.25mm,-30.25mm,2,B,270,Yes,47kΩ,47kΩ
R59,0805W8F1001T5E,R0805,-31.75mm,20.75mm,-31.75mm,20.75mm,-31.75mm,19.75mm,2,T,90,Yes,1kΩ,1kΩ
R60,0805W8F1001T5E,R0805,-33mm,15.75mm,-33mm,15.75mm,-34mm,15.75mm,2,B,0,Yes,1kΩ,1kΩ
R61,0805W8F1001T5E,R0805,-15mm,45mm,-15mm,45mm,-15mm,44mm,2,B,90,Yes,1kΩ,1kΩ
R62,0805W8F1001T5E,R0805,4mm,34mm,4mm,34mm,3mm,34mm,2,B,0,Yes,1kΩ,1kΩ
